"Номер","Наименование","Субъект РФ","Полный адрес","Дата занесения в реестр"
41,"Федеральное государственное бюджетное учреждение "Тренировочный центр сборных команд России "Озеро Круглое"","Московская область","Агафониха, Россия, 141895","26.06.2012"
42,"Дворец спорта им. Ивана Ярыгина ГБОУ ДОДСН Специализированная детско-юношеская спортивная школа олимпийского резерва","Москва","Авиамоторная ул, 40, Москва, Россия, 111024","26.06.2012"
43,"Универсальный спортивный комплекс "Курьяново" ГБОУ ДОД СН Специализированная детско-юношеская спортивная школа олимпийского резерва № 64","Москва","Курьяновский 1-й проезд, 17, Москва, Россия, 109235","26.06.2012"
44,"Государственное бюджетное учреждение города Москвы "Дворец спорта "Мегаспорт"","Москва","Ходынский б-р, 3, Москва, Россия, 125252","26.06.2012"
45,"Стадион МБОУ ДОД Детско-юношеской спортивной школы по футболу г. Ейска","Краснодарский край","Портовая аллея, 8, Ейск, Россия, 353685","27.06.2012"
46,"Футбольное поле с искусственным покрытием МБУ "Спортивный комплекс "Лидер"","Челябинская область","Копейское шоссе 43-А, 43сА, Челябинск, Россия, 454135","28.06.2012"
47,"Крытый легкоатлетический футбольный комплекс ФАУ МО РФ ЦСКА","Москва","Ленинградский пр-кт, 39, Москва, Россия, 125167","04.07.2012"
48,"футбольное поле с искусственным покрытием МОУ ДОД ДЮСШ 1 К. №5","Ростовская область","молодежная, Волгодонск, Россия, 347368","23.07.2012"
49,"Общество с ограниченной ответственностью "Олимпийский учебно-спортивный центр "Планерная"","Московская область","мкр. Планерная, Химки, Россия, 141408","24.07.2012"
50,"Футбольный стадион "Шахтер" МАУ "Футбольный клуб "Кузбасс"","Кемеровская область","Рутгерса, 32, Кемерово, Россия, 650044","24.07.2012"
51,"Лыжный стадион Муниципального автомного спортивно-оздоровительного учреждения "Зоркий"","Московская область","Речная, Красногорск, Россия","30.07.2010"
52,"Центральный Республиканский стадион "Зенит"","Удмуртская Республика","Советская, 33, Ижевск, Россия","01.08.2012"
53,"Муниципальное автономное спортивно - оздоровительное учреждение "Зоркий" Лыжный стадион","Московская область","Пионерская, 31, Красногорск, Россия, 143400","01.08.2012"
54,"Спортивный зал","Краснодарский край","Чистая, 21, Анапа, Россия, 353440","01.08.2012"
55,"Спортивный комплекс "ОКА"","Тульская область","Чехова, 21, Алексин, Россия, 301365","03.08.2012"
56,"Физкультурно-оздоровительный комплекс в г. Павлово Нижегордской области","Нижегородская область","Покровская, 1са, Павлово, Россия, 606106","22.08.2012"
57,"Физкультурно-оздоровительный комплекс "Кристаллик"","Саратовская область","угол ул. Тархова и ул. Топольчанской, Саратов, Россия, 410035","23.08.2012"
58,"Физкультурно-оздоровительный комплекс  с ледовой ареной (ГАОУ ДОД "Саратовская областная СДЮСШОР по хоккею")","Саратовская область","ул. 30 лет Победы, 8са, Саратов, Россия, 413800","23.08.2012"
59,"Учебно-спортивный комплекс "Крытый плавательный бассейн "Буревестник" ФГБОУ ВПО "Поволжская государственная академия физической культуры, спорта и туризма"","Республика Татарстан","ул. Деревня Универсиады, 33, Казань, Россия","23.08.2012"
60,"Учебно-спортивный комплекс "Казанская Академия тенниса" ФГБОУ ВПО "Поволжская государственная академия физической культуры, спорта и туризма"","Республика Татарстан","Оренбургский тракт, 101, Казань, Россия","23.08.2012"
61,"Учебно-спортивный комплекс "Ледовый дворец "Зилант" ФГБОУ ВПО "Поволжская государственная академия физической культуры, спорта и туризма"","Республика Татарстан","ул. Хусаина Мавлютова, 17св, Казань, Россия, 420101","23.08.2012"
62,"Дворец спорта Видное","Московская область","Олимпийская, 4, Видное, Россия, 142700","23.08.2012"
63,"Плавательный бассейн с 50-метровыми дорожками в спорткомплексе "Нефтяник" ООО "КИНЕФ"","Ленинградская область","ул. Строителей, 5, Кириши, Россия, 187110","27.08.2012"
64,"Дворец спортивных единоборств ФАУ МО РФ "ЦСКА"","Москва","Ленинградский пр-кт, 39, Москва, Россия, 125167","30.08.2012"
65,"Универсальный спортивный комплекс им. А.Я. Гомельского ФАУ МО РФ "ЦСКА"","Москва","Ленинградский пр-кт, 39, Москва, Россия, 125167","30.08.2012"
66,"Спортивный комплекс "Игровой" ФАУ МО РФ "ЦСКА"","Москва","Ленинградский пр-кт, 39, Москва, Россия, 125167","30.08.2012"
67,"Конно-спортивная база ФАУ МО РФ "ЦСКА"","Москва","Дыбенко ул, 5, Москва, Россия, 125167","30.08.2012"
68,"Спортивный комплекс (Плавательный) ФАУ МО РФ "ЦСКА"","Москва","Ленинградский пр-кт, 39, Москва, Россия, 125167","30.08.2012"
69,"Спортивный зал для борьбы МАОУ ДОД "ДЮСШ "Ермак" г. Перми","Пермский край","ул. Красновишерская, 37, Пермь, Россия, 614060","05.09.2012"
70,"Футбольное поле ГБУ г.Москвы "ЦСП "Крылатское" Москомспорта","Москва","Западная ул, 16Б, Москва, Россия, 105173","12.09.2012"
71,"Физкультурно-оздоровительный комплекс ГБУ г.Москвы "ЦСП "Крылатское" Москомспорта","Москва","Западная ул, 16Б, Москва, Россия, 105173","12.09.2012"
