"Номер","Наименование","Субъект РФ","Полный адрес","Дата занесения в реестр"
723,"Спортивный зал для баскетбола","Свердловская область","Бажова, 132, Екатеринбург, Россия, 622075","15.09.2014"
724,"Спортивно-демонстрационный зал в здании Спортивного комплекса "Училище олимпийского резерва"","Оренбургская область","Новая, 17, Оренбург, Россия, 460050","07.04.2010"
725,"Зал спортивный крытый универсальный МАУ "УСК "Форум"","Саратовская область","Степная, 70, Балаково, Россия, 413800","15.09.2014"
726,"Дворец спорта "Арктика"","Красноярский край","Набережная Урванцева, 53, Норильск, Россия, 663302","15.09.2014"
727,"Футбольное поле","Московская область","Чикалова, 25, Красноармейск, Россия, 141290","08.09.2014"
728,"Конноспортивный комплекс  "Новый век"","Московская область","Николо-урюпино село, Россия, 143421","30.09.2014"
729,"Медико-восстановительный комплекс "Парус" ФГБУ "Юг Спорт"","Краснодарский край","Бзугу, 2, Сочи, Россия, 354002",
730,"Спортивный комплекс "Дружба"","Тюменская область","Розина, 104, Ханты-Мансийск, Россия, 628011","30.09.2014"
731,"СТАДИОН "КРЫЛЬЯ СОВЕТОВ"","г. Москва","проспект Будёного, 17са, Москва, Россия, 1051118","30.09.2014"
732,"МБОУ ДОД "ДЮСШ"Старт" стадион Нефтяник","Тюменская область","микрорайон 2, 87, Урай, Россия, 628285","30.09.2014"
733,"ООО "Спортивный комплекс Курганово"","Свердловская область","село Курганово, Полевской, Россия, 623376","06.11.2014"
734,"МБОУ ДОД "ДЮСШ" г. Десногорска","Смоленская область","2 микрорайон, Десногорск, Россия, 216400","15.09.2014"
735,"Центр подготовки олимпийского резерва по художественной гимнастике","Омская область","Тимуровский проезд, д. 10ск. 1, Омск, Россия, 644042","10.09.2014"
736,"Многофункциональный спортивный комплекс ГБОУ ДОД КО "ОДЮСШ"","Калужская область","пр. Ленина, 153, Обнинск, Россия, 249034","10.09.2014"
737,"Муниципальное бюджетное учреждение дополнительного образования детей детско-юношеская спортивная школа №9","Ивановская область","Генерала хлебникова, 32 ВВ1, Иваново, Россия, 153048","03.10.2014"
738,"Спортзал спорткомплекса со стадионом МБОУ ДОД "ДЮСШ" №3","Курганская область","Т. Невежина, 7, Г. Курган, Россия, 640003","10.09.2014"
739,""Физкультурно-оздоровительный комплекс (Бассейн плавательный крытый)" ГБУ "ЦФКиС ЗАО г. Москвы"","Москва","Герасима Курина, д. 44/1, г. Москва, Россия, 121108","10.09.2014"
740,"Муниципальное автономное учреждение "Спортивно-зрелищный комплекс "Фаворит"","Ленинградская область","Физкультурная, 2, Выборг, Россия, 188800","03.10.2014"
741,,,"Россия",
742,"Муниципальное автономное учреждение "Спортивно-зрелищный комплекс "Фаворит"","Ленинградская область","Приморская, 41, Выборг, Россия, 188800",
743,"Муниципальное автономное учреждение "Спортивно-зрелищный комплекс "Фаворит"","Ленинградская область","Приморская, 41, Выборг, Россия, 188800","03.10.2014"
744,"МБУ СК "Юность"","Свердловская область","Куйбышева, 32-А, Екатеринбург, Россия, 620144","10.09.2014"
745,"ГБПОУ "КФКС "Спарта" Москомспорта","Москва","Маршала Тимошенко, 36с2, , Россия, 121359",
746,"ГБПОУ КФКС "Спарта" Москомспорта","г. Москва","Маршала Тищенко, 36с2, Москва, Россия, 121359","10.09.2014"
747,"МБУ ФСК "Фортуна"","Ямало-Ненецкий автономный округ","5 микрорайон, 42, г. Губкинский, Россия, 629830","10.09.2014"
748,"ГБУ "ЦФКиС ЗАО г. Москвы"","г. Москва","Герасима Курина, 44с1, Москва, Россия, 121108","10.09.2014"
749,"ГБУ "ЦФКиС ЗАО г. Москвы"","г. Москва","Герасима Курина, 44с1, Москва, Россия, 121108",
750,"ГБУ "ЦФКиС ЗАО г. Москвы"","г. Москва","Герасима Курина, 44с1, Москва, Россия, 121108","10.09.2014"
751,"ООО "Газпром трансгаз Югорск" КСК "Норд"","Тюменская область","Кирова, 7, Г. Югорск, Россия, 628260","29.09.2014"
752,"МБОУ ДОД СДЮСШОР г. Советский","Тюменская область","Макаренко, 5а, Советский, Россия, 628240","25.09.2014"
753,"Мотодром «Локомотив» города Тихорецк","Краснодарский край","Тихорецк, Россия","14.05.2015"
754,"ООО "АйсПрофэшнл"","Московская область","Зелёный переулок, стр. 10, Видное, Россия, 142700","24.09.2014"
755,"ФГБОУ ВПО "СГАФКСТ"","Смоленская область","пр. Гагарина, 23, Смоленск, Россия, 214018","22.09.2014"
756,"ГБУ "Спортивная школа олимпийского резерва № 111" Москомспорта","Москва","с348 Б., Зеленоград, Россия, 124482","22.09.2014"
757,"ОАО "Кондопога"","Республика Карелия","Промышленная -2, Кондопога, Россия, 186200","22.09.2014"
758,"ФГБОУ ВПО "МГТУ"","Челябинская область","пр. Ленина, 38, Магнитогорск, Россия, 455000","22.09.2014"
759,"НП СФОК "Кунцево"","Москва","Можайское шоссе, 7, Г. Москва, Россия, 121471","22.09.2014"
760,"МБУ "ФСК "Фортуна"","Ямало-Ненецкий автономный округ","5 микрорайон, 42, г. Губкинский, Россия, 629830","22.09.2014"
761,"МБУ "ФСК "Фортуна"","Ямало-Ненецкий автономный округ","5 микрорайон, 42, Губкинский, Россия, 629830","22.09.2014"
762,"ООО "СОК "Синара"","Свердловская область","К. Маркса, 55, Каменск-Уральский, Россия, 623400","22.09.2014"
763,"ООО "СОК "Синара"","Свердловская область","К. Маркса, 55, Каменск-Уральский, Россия, 623400","22.09.2014"
764,"МБОУ ДОД СДЮСШОР г. Советский","Тюменская область","Макаренко, 5а, Советский, Россия, 628240","22.09.2014"
765,"ФГБОУ ВПО "ВЛГАФК"","Псковская область","площадь Юбилейная, 4, Великие Луки, Россия, 182100","22.09.2014"
766,"ОАО "Первый строительный монтажный трест"","Москва","1-й Люсиновский пер., 3-Б, г. Москва, Россия, 119049","19.09.2014"
767,"АУ "УСС Республики Марий-Эл"","Республика Марий Эл","105-А, Йошкар-Ола, Россия, 424000","18.09.2014"
768,"АУ "Управление спортивных сооружений Республики Марий-Эл"","Республика Марий Эл","Карла-Маркса, 105-А, Йошкар-Ола, Россия, 424000","18.09.2014"
769,"ООО "ИСК "Славобласть"","Москва","1-й Тружеников пер., 4, г. Москва, Россия, 119121","17.09.2014"
770,"ФГБОУ ВПО "УдГУ"","Удмуртская Республика","Университетская, 1, Ижевск, Россия, 426034","17.09.2014"
771,"МБОУ ДОД "ДЮСШ №1"","Ростовская область","Машиностроителей, 17 Б, Белая Калитва, Россия, 347044","17.09.2014"
772,"ГАОУ ДОД Свердловской области "СДЮСШОР "Аист"","Свердловская область",", А/я 82, Нижний Тагил, Россия, 622002","17.09.2014"
773,"Губернский центр спорта "Кузбасс"","Кемеровская область","б-р Строителей, 55, Кемерово, Россия, 650056","03.10.2014"
774,"ГАУ "Спортивно-оздоровительный комплекс "Брянск"","Брянская область","2-я Мичурина, 32 А, Брянск, Россия, 241047","30.09.2014"
775,"ГАУ "Центр спортивной подготовки Оренбургской области"","Оренбургская область","Новая, 17, Оренбург, Россия, 460050","30.09.2014"
776,"Администрация городского округа Красноармейск Московской области","Московская область","Чкалова, 25, Красноармейск, Россия, 141290","30.09.2014"
777,"Конноспортивный комплекс "Новый Век"","Московская область","село Николо-Урюпино, Красногорский р-н, Россия, 143421","30.09.2014"
778,"МБУ "СК "Дружба"","Ханты-Мансийский автономный округ","Рознина, 104, Ханты-Мансийск, Россия, 628011","30.09.2014"
779,"ФГКП "НПЦ газотурбостроения "Салют"","г. Москва","пр-кт Будённого, 16, Москва, Россия, 105118","30.09.2014"
780,"Министерство физической культуры и спорта Краснодарского края","Краснодарский край","Радио, 9, Краснодар, Россия, 350038","30.09.2014"
781,"МБОУ ДОД "ДЮСШ "Старт"","Тюменская область","Г. Урай, микрорайон 2, 87, Ханты-Мансийский автономный округ, Россия, 628285","30.09.2014"
782,"МОУ ДОД СДЮСШОР №3","Ярославская область","пр. Генерала Батова, 3а, Рыбинск, Россия, 152919","20.10.2014"
783,"ООО "Спортивный комплекс "Юность"","Краснодарский край","Ленина, 88, Сочи, Россия, 354348","20.10.2014"
784,"Концертно-спортивный комплекс "Фетисов Арена"","Приморский край","Маковского, 284, Владивосток, Россия, 690024","10.10.2014"
785,"Муниципальное учреждение спорта "Физкультурно-оздоровительный комплекс "Мелодия"","Московская область","Августовская, 40, Апрелевка, Россия, 143360","08.10.2014"
786,"МБОУ ДОД "СДЮСШОР №6 им. В. И. Расторгуева г. Томска"","Томская область","Северный городок, 61с1, Томск, Россия, 634006","08.10.2014"
787,"Спортивный комплекс МУ "ТГФК "Кировец" (футбольное поле с искусственным покрытием)"","Ленинградская область","Пещерка, 1, Тихвин, Россия, 187553","10.10.2014"
788,"Зал спортивный крытый универсальный МБОУ ДОД ДЮСШ №19 "Детский стадион"","Свердловская область","Баумана, 15-а, Екатеринбург, Россия, 620017","10.10.2014"
789,"ФГБОУ ВПО Спорткомплекс МГТУ им. Н.Э. Баумана","г. Москва","Госпитальная наб., 4Россия, 105094","10.10.2014"
790,"Горнолыжный комплекс ООО "Абзаково"","Республика Башкортостан","Новоабзаково, Россия, 453565","10.10.2014"
791,"Футбольное поле с искусственным покрытием ОАО "Красноармейск"","Московская область","Академика Янгеля, 35, Красноармейск, Россия, 141290","10.10.2014"
792,"Зал спортивный ГБОУ ДОД КО "СДЮШОР им. А.В. Голубева" - СТЦ зимних видов спорта и адаптивного спорта","Костромская область","Давыдовский-3 м-н, 44, Кострома, Россия, 156016","10.10.2014"
793,"Специализированный гимнастический зал","Московская область","31а, Пущино, Россия, 142290","10.10.2014"
794,"ГАОУ ДО КО "СДЮСШОР "Труд"","Калужская область","Подгорная, 57а, Калуга, Россия, 248018","10.10.2014"
795,"МБОУ ДОД СДЮСШОР №1 г. Мончегорска","Мурманская область","пр-т Ленина, 8"А", Мончегорск, Россия, 184511","11.10.2014"
796,""Арена Ерофей"","Хабаровский край","Дикопольцева, 12, Хабаровск, Россия, 680013","14.10.2014"
797,"Футбольное поле с искусственным покрытием "Труд"","Калужская область","Шацкого, 1, Обнинск, Россия, 249033","14.10.2014"
798,"Трибуны стадиона "Труд" (Зал тяжелой атлетики)","Калужская область","Шацкого, 1, Обнинск, Россия, 249033","14.10.2014"
799,"Спортивный комплекс "Дом спорта" (зал художественной гимнастики)","Калужская область","Шацкого, 1, Обнинск, Россия, 249033","14.10.2014"
800,"Спортивный гимнастический зал (зал бокса)","Калужская область","Шацкого, 1, Обнинск, Россия, 249033","14.10.2014"
801,"Помещение нежилое (зал пулевой стрельбы)","Калужская область","Горького, 62, Обнинск, Россия, 249033","14.10.2014"
802,"Помещение нежилое (зал борьбы)","Калужская область","пр-т Ленина, 126, Обнинск, Россия, 249034","14.10.2014"
803,"Малая трасса ж/б желоб 4 виража","Иркутская область","Р 03 25 05 00, Братск, Россия","14.10.2014"
804,"Футбольное поле с натуральным покрытием МУС "Спортивный комплекс "Гучково"","Московская область","Войкова, 17, Дедовск, Россия, 143530","16.10.2014"
805,"Спортивная арена ГАУ "С-КК "Оренбуржье"","Оренбургская область","пр-т Гагарина, 21с1, Оренбург, Россия, 460040","16.10.2014"
806,"Спортивно-оздоровительный комплекс "Атлант"","Ярославская область","Павлова, 2, Ярославль, Россия, 150023","16.10.2014"
807,"Спортивный комплекс "Старт"","Московская область","Лесной б-р, 1 "Б", Протвино, Россия, 142281","16.10.2014"
808,"Плавательный бассейн МАОУ ДОД ДЮСШ с. Боринское","Липецкая область","Ленина, 63 "А", с. Боринское, Россия, 398510","16.10.2014"
809,"Физкультурно-оздоровительный комплекс "Марьина роща"","г. Москва","3-я ул. Марьиной рощи, Москва, Россия, 129594","16.10.2014"
810,"Спортивный комплекс (зал спортивный универсальный с покрытием древесины размером 14,68х26,68 м; зал спортивный универсальный с покрытием из паркета размером 17,32х11,40 м","Тверская область","Строителей, 15, Конаково, Россия, 171252","16.10.2014"
811,"Бассейн плавательный крытый (СК "Единая Россия")","Республика Татарстан","Тази Гиззата, 27, Елабуга, Россия, 423600","18.10.2014"
812,"Многофункциональный спортивный комплекс","г. Москва","Василия Петушкова, 10, Москва, Россия, 125476","18.10.2014"
813,"Физкультурно-оздоровительный комплекс с ледовой ареной (61х30) СДЮСШОР №1 г. Оренбург ГАУ ДОД "СДЮСШОР №4"","Оренбургская область","Комсомольская, 197с3, Оренбург, Россия, 460035","17.10.2014"
814,"КОГАУС "Ледовый дворец "Олимп-Арена"","Кировская область","Заводская, 20, Кирово-Чепецк, Россия, 613040","22.10.2014"
815,"Универсальный спортивный зал Культурно-спортивного комплекса "Нефтяник" МБУ СОК "Звездный"","Ханты-Мансийский автономный округ","Таежная, 19, Покачи, Россия, 628661","23.10.2014"
816,"Большая трасса ж/б желоб 14 виражей","Иркутская область","Р 03 25 09 00, Р 03 26 02 00, Братск, Россия","23.10.2014"
817,"Физкультурно-оздоровительный комплекс ГБУ "Спортивной школы олимпийского резерва №56" Москомспорта"","г. Москва","Новосибирская, 11 "А", , Россия, 107497","23.10.2014"
818,"МАОУ ДОД "ДЮСШ дзюдо и гимнастики"","Нижегородская область","Урицкого, 3, Дзержинск, Россия, 606000","24.10.2014"
819,"Спортивно-оздоровительный комплекс "Обухово" (спортивный игровой зал, хоккейное поле и футбольное поле с искусственным покрытием)","Московская область","Советская, 25 "А", Обухово, Россия, 142440","28.10.2014"
820,"Республиканский стадион "Спартак"","Республика Северная Осетия - Алания","Шмулевича, 6, Владикавказ, Россия, 362007","28.10.2014"
821,"Зал единоборств ГАУ ЦПВСМ РБ","Республика Башкортостан","Дорофеева, 1/1, Уфа, Россия, 450000","07.11.2014"
822,"Зал спортивной гимнастики МБОУ ДОД "ДЮСШ "Дружба"","Московская область","Чайковского, 3/10, Ступино, Россия, 142800","07.11.2014"
823,"Стадион для хоккея с мячом МАОУ ДОД "СДЮСШОР "Енисей"","Красноярский край","Юности, 18, Красноярск, Россия, 660123","07.11.2014"
824,"Спортивный зал МБОУ ДОД "Веселовская ДЮСШ"","Ростовская область","пер. Комсомольский, 61, пос. Веселый, Россия, 347780","07.11.2014"
825,"Универсальная спортивная арена "Аркада"","Белгородская область","пр-т Молодежный, 6, Старый Оскол, Россия, 309516","07.11.2014"
826,"Ледовая арена "Аркада"","Белгородская область","пр-т Молодежный, 6, Старый Оскол, Россия, 309516","07.11.2014"
827,"Крытый манеж с искусственным покрытием и боевое поле на открытом грунте "Белая лошадь"","Свердловская область","с. Кадниково, Россия, 624013","07.11.2014"
828,"Многофункциональный спортивный комплекс "Паралимпийский"","г. Москва","Тургеневская пл., 2, , Россия, 101000","07.11.2014"
829,"Спортивный комплекс с универсальным игровым залом в г. Ухта","Республика Коми","Тиманская, 6, Ухта, Россия, 169300","07.11.2014"
830,"Игровой зал культурно-спортивного комплекса "Юность"","Ханты-Мансийский автономный округ","Пионерская, 2, Нягань, Россия, 628187","07.11.2014"
831,"Плавательный бассейн, универсальный спортивный зал спорткомплекса "Спартак" ОБУ "ОК ДЮСШОР"","Липецкая область","Гагарина, 70 "А", Липецк, Россия, 398002","07.11.2014"
832,"Комплекс спортивных площадок для пляжного волейбола МАУ "Спортсооружения"","Московская область","Центральный парк культуры и отдыха, Мытищи, Россия","07.11.2014"
833,"Спортивный зал Спб ГБОУ ДОД СДЮСШОР "Центр художественной гимнастики "Жемчужина"",,"Петровский пр., 16, Санкт-Петербург, Россия, 197110","07.11.2014"
834,"Спортивный зал МАОУ ДОД "ДЮСШ №6" им. Манеева В.П."","Кемеровская область","Тольятти, 2 "А", Новокузнецк, Россия, 654066","07.11.2014"
835,"Спортивно-оздоровительный комплекс "ARENA"","Свердловская область","Ильича, 67, Екатеринбург, Россия, 620042","07.11.2014"
836,""КСК "Нефтяник"","Ханты-Мансийский автономный округ","микрорайон 2, 45, Нягань, Россия, 628181","07.11.2014"
837,"Стадион "Металлург" МАУ "Футбольный клуб  "Сибиряк" муниципального образования г. Братска","Иркутская область","Комсомольская, 35а, Братск, Россия, 665717","12.11.2014"
838,"Стадион "Им. 50-летия Октября"","Республика Башкортостан","Ключевая, 1, Салават, Россия, 453259","12.11.2014"
839,"Физкультурно-спортивный клуб "Ровесник"","Самарская область","Ленина, 88, Чапаевск, Россия, 446115","12.11.2014"
840,"Лыжная база "Физкультурно-спортивный комплекс ОАО "Северский трубный завод"","Свердловская область","Павлика Морозова, 34, Полевской, Россия, 623380","14.11.2014"
841,"Городской стадион. Поле с искусственным покрытием, категория В","Ханты-Мансийский автономный округ","1 микрорайон, 30а, Радужный, Россия, 628461","14.11.2014"
842,"Спортивный зал МБОУ ДОД "ДЮСШ", универсальный","Московская область","Победы, 4, Реутов, Россия, 143966","14.11.2014"
843,"Стрелковый тир НОУ ДО "Академия практической стрельбы"","г. Москва","Лубянский пр-д, 27/1, Москва, Россия, 101000","14.11.2014"
844,"Бассейн для плавания учебно-тренировочный "Огни Мурманска"","Мурманская область","Огни Мурманска, 1, Мурманск, Россия, 183038","14.11.2014"
845,"Универсальный игровой зал ФОК МБУ "ГГСДЦ"","Ленинградская область","Генерала Кныша, 14а, Гатчина, Россия, 188309","14.11.2014"
846,"Универсальный спортивный зал МБУ ГГСДЦ","Ленинградская область","Чехова, 8а, Гатчина, Россия, 188304","14.11.2014"
847,"Ледовый дворец в Володарском районе г. Брянска","Брянская область","2-я Мичурина, 34, Брянск, Россия, 241047","14.11.2014"
848,"Лесной участок (лыжная трасса) ГАОУ ДОД "ДЮСШ "Планета спорта"","Рязанская область","Сасовское лесничество в квартале №12Россия","17.11.2014"
849,"Спортивно-зрелищный комплекс МАУ "Концертно-спортивный комплекс" Новоуральского городского округа","Свердловская область","Свердлова, 6, Новоуральск, Россия, 624133","24.11.2014"
850,"Многофункциональный спортивный зал, кат."1" Спортивного комплекса "Единая Россия"","Республика Татарстан","Тази Гиззата, 31, Елабуга, Россия, 423600","21.11.2014"
851,"Зал спортивный крытый 36,0х18,0 ГБУ "СШОР №42" Москомспорта","г. Москва","Россошанский пр-д, 4с4Россия, 117535","25.11.2014"
852,"Специализированный гандбольный зал (Воздухоопорное сооружение)","Волгоградская область","Новороссийская, 2, Волгоград, Россия, 400131","25.11.2014"
853,"Ледовый дворец ФГБОУ ВПО "СГАФКСТ"","Смоленская область","пр. Гагарина, 23, Смоленск, Россия, 214018","25.11.2014"
854,"Легкоатлетический манеж ФГБОУ ВПО "СГАФКСТ"","Смоленская область","пр. Гагарина, 23, Смоленск, Россия, 214018","25.11.2014"
855,"Универсальный спортивный зал "Батыр"","Республика Татарстан","Гоголя, 22, с. Тюлячи, Россия, 422080","25.11.2014"
856,,,"Россия","22.06.2015"
857,"КСК "Нефтяник"","Ханты-Мансийский автономный округ","микрорайон 2, 45, Нягань, Россия","07.11.2014"
858,"Спортивно-оздоровительный комплекс "ARENA"","Свердловская область","Ильича, 67слитер А, Екатеринбург, Россия","07.11.2014"
859,"МАОУ ДОД "ДЮСШ №6" им.Манеева В.П.","Кемеровская область","Тольятти, 2 "А", Новокузнецк, Россия, 654066","07.11.2014"
860,"Спортивный зал Спб ГБОУ ДОД СДЮСШОР "Центр художественной гимнастики Жемчужина"","Санкт-Петербург","Петровский пр., 16слит.А, Санкт-Петербург, Россия, 197110","07.11.2014"
861,"Комплекс спортивных площадок для пляжного волейбола МАУ "Спортсооружения"","Московская область","Центральный парк культуры и отдыха, Мытищи, Россия, 141004","07.11.2014"
862,"Ледовая арена","Белгородская область","пр-т Молодежный, 6, Старый Оскол, Россия, 309503","07.11.2014"
863,"Игровой спортивный зал №8 ФГБОУ ВПО "СГАФКСТ"","Смоленская область","пр. Гагарина, 23, Смоленск, Россия, 214018","08.12.2014"
864,"Спортивно-оздоровительный комплекс "Наука" ФГБУ науки КНЦ РАН","Мурманская область","Зиновьева, 18, Апатиты, Россия, 184209","08.12.2014"
865,"Дом физкультуры "Буревестник"","Рязанская область","Семашко, 56, Рязань, Россия, 390000","08.12.2014"
866,"Горнолыжные трассы "Олимпийская и "Северная" горнолыжного комплекса "Каменный мыс" ЗАО "Сургутпромжелдортранс"","Ханты-Мансийский автономный округ","Сургут, Россия, 628414","08.12.2014"
867,"Физкультурно-спортивный комплекс п. Горноправдинск Ханты-Мансийского района с привязкой проекта "ФСК в д. Шапша" МБОУ ДОД "ДЮСШ Ханты-Мансийского района"","Тюменская область","Петелина, 2б, п. Горноправдинск, Россия, 628544","08.12.2014"
868,"Муниципальное автономное учреждение "Дворец спорта"","Мурманская область","Кировская аллея, 2А, Кандалакша, Россия, 154046","08.12.2014"
869,"Учебно-спортивный центр БОУ ОО СПО "Орловский спортивный техникум"","Орловская область","Матросова, 5, Орел, Россия, 302020","04.12.2014"
870,"Бассейн ФГАОУ ВПО "УрФУ имени первого Президента России Б.Н. Ельцина"","Свердловская область","Коминтерна, 14сА, Екатеринбург, Россия, 620081","04.12.2014"
871,"Спортивный зал БОУ ОО СПО "Орловский спортивный техникум"","Орловская область","Октябрьская, 65с2, Орел, Россия, 302020","04.12.2014"
872,"Стадион "Спартак" МУ стадион "Старт"","Московская область","Ленинского Комсомола, 89, Серпухов, Россия, 142209","04.12.2014"
873,"Спортивный клуб "Темп"","Свердловская область","Спортивная, 4, Ревда, Россия, 623286","01.12.2014"
874,"Спортивный комплекс МБОУ ДОД СДЮСШОР №2","Воронежская область","9 января, 134, Воронеж, Россия, 394027","01.12.2014"
875,"Дворец спорта МАОУ ДОД "КДЮСШ"","Удмуртская Республика","Советская, 35, Ижевск, Россия, 426004",
876,"Дворец спорта МАОУ ДОД "КДЮСШ"","Удмуртская Республика","Советская, 35, Ижевск, Россия, 426004","01.12.2014"
877,"Универсальный спортивный комплекс МБОУ ДОД "ДЮСШ п.Искателей"","Архангельская область","Губкина, 5сБ, п.Искателей, Россия, 166700","01.12.2014"
878,"Футбольное поле стадион "Красное Знамя"","Московская область","Воровского, Раменское, Россия, 140100","25.11.2014"
879,"Универсальный легкоатлетический манеж УСК "ЦСП Триумф"","Республика Саха (Якутия)","Ойунского, 26сА, Якутск, Россия, 677000","25.11.2014"
880,"МБОУ ДОД "СДЮСШОР по фехтованию"","Нижегородская область","Матросова, 57, Дзержинск, Россия, 606033","25.11.2014"
881,"Спортивный зал универсального спортивного комплекса Коми региональной общественной организации "Федерации футбола Республики Коми"","Республика Коми","Малышева, 6/1, Сыктывкар, Россия, 167000","25.11.2014"
882,"Физкультурно-оздоровительный комплекс с искусственным льдом ГАУ НСО "Центр спортивной подготовки Новосибирской области"","Новосибирская область","Тюленина, 10, Новосибирск, Россия, 630061","25.11.2014"
883,"Здание Школы Самбо ОАО "Международная Олимпийская Академия Спорта"","Нижегородская область","Зеленая, Кстово, Россия, 607650","25.11.2014"
884,"Теннисный корт ОАО "Международная Олимпийская Академия Спорта"","Нижегородская область","Зеленая, 6с7, Кстово, Россия, 607650","25.11.2014"
885,"Комплекс для пулевой стрельбы ЗАО "Спортинг Клуб Москва"","Московская область","дер.Солманова, Россия, 143080","25.11.2014"
886,"Спортивный комплекс "Север" МБУ ДОД СДЮСШОР "Центр игровых видов спорта"","Новосибирская область","Учительская, 61, Новосибирск, Россия, 630110","25.11.2014"
887,"Спортивный борцовский зал УСК "ЦСП "Триумф"","Республика Саха (Якутия)","Ойунского, 26сБ, Якутск, Россия, 677000","25.11.2014"
888,"Универсальные спортивные залы спортивного комплекса игровых видов спорта ФГАОУ ВПО "УрФУ имени первого Президента России Б.Н.Ельцина"","Свердловская область","Коминтерна, 14, Екатеринбург, Россия, 620081","25.11.2014"
889,"Здание (физкультурно-оздоровительный комплекс с искусственным льдом) ГАОУ ДОД "ДЮСШ "Планета спорта"","Рязанская область","Л.Зыкиной, 2, Сасово, Россия, 391434","18.12.2014"
890,"ГБОУ ДОД "СДЮСШОР №2 Белгородской области"","Белгородская область","пр.Слава, 69, Белгород, Россия, 308014","18.12.2014"
891,"Пулевой тир АНФОО "СК "Липецкий металлург"","Липецкая область","Адмирала Макарова, 1н, Липецк, Россия, 398005","18.12.2014"
892,"Стадион со спортивным ядром спортивной базы АНФОО "СК "Липецкий металлург"","Липецкая область","Адмирала Макарова, 1 м, Липецк, Россия, 398005","18.12.2014"
893,"Многофункциональный спортивный комплекс ГБУ "Спортивная школа №84" Москомспорта","г. Москва","Ясный проезд, 24с4, Москва, Россия, 127081","16.12.2014"
894,"Универсальный спортивный зал СК им. В.Ф.Горбенко г.Курган","Курганская область","Сибирская, 1, Г. Курган, Россия, 640006","12.12.2014"
895,"Универсальный спортивный зал Физкультурно-оздоровительного комплекса на 250 зрителей с бассейном на 50 мест МАОУ ДОД НДЮСШ-"Олимп"","Тюменская область","70 лет Октября, 25, пгт. Новоаганск, Россия, 628647","12.12.2014"
896,"Плавательный бассейн МОАУ ДОД  СДЮСШОР "Темп"","Ярославская область","пр.Ленина, 150, Рыбинск, Россия, 152912","12.12.2014"
897,"Гребная база "Спартак"","Краснодарский край","Кубанская, 1/Б, Краснодар, Россия, 350063",
898,"Плавательный бассейн МОАУ ДОД СДЮСШОР "Темп"","Ярославская область","пр.Ленина, 150, Рыбинск, Россия, 152912","12.12.2014"
899,"Гребная база "Спартак"","Краснодарский край","Кубанская, 1/б, Краснодар, Россия, 350063","10.12.2014"
900,"Игровой зал спорткомплекса "НЦВСМ" МАУ "НЦВСМ"","Новосибирская область","Красный проспект, 167, Новосибирск, Россия, 630049","10.12.2014"
901,"Санная трасса Санатория "Зеленый мыс" для натурбана","Свердловская область","Загородное шоссе, 18, Новоуральск, Россия, 624130","10.12.2014"
902,,,"Россия",
903,"Крытый каток спорткомплекса "Фламинго" МАУ "НЦВСМ"","Новосибирская область","Зорге, 82/3, Новосибирск, Россия, 630049","10.12.2014"
904,"Стадион "Трудовые резервы"","Курская область","Ленина, 56-58, Курск, Россия, 305004","10.12.2014"
905,"Спортивный компелкс "Tennis City"","Республика Татарстан","8 Марта, 30Б, Альметьевск, Россия, 423450","12.01.2015"
906,"Здание детской спортивной школы","Краснодарский край","пр. Революции, 11, Анапа, Россия, 353440","03.03.2015"
907,"Бассейн плавательный крытый СК МБОУ ДОД "ДЮСШ" им. Г.С. Хусаинова, ванна бассейна 25x8","Республика Татарстан","Ленинградская, 1В, Нурлат, Россия, 423040","12.01.2015"
908,"Отдельно стоящее здание Многофункционального комплекса с универсальным спортивным залом ЗАО "МФК "ВИЗ-СИНАРА"","Свердловская область","Кирова, 28/ул. Толедова, 43, литер 109, Екатеринбург, Россия, 620028","12.01.2015"
909,"Спортивный зал ФГБОУ ВПО "Чайковский государтсвенный институт физической культуры"","Пермский край","Ленина, 67, Чайковский, Россия, 617764","26.12.2014"
910,"Многофункциональный комплекс с универсальными залами и футбольными полями МБОУ ДОД "Вельская ДЮСШ"","Архангельская область","1 Мая, 51, Вельск, Россия, 165150","12.01.2015"
911,"МБОУ ДОД ДЮСШ "Старт" (Зал спортивный специализированный для атлетизма,кат. "С")","Ненецкий автономный округ","Калмыкова, 2а, Нарьян-Мар, Россия, 166002","25.12.2014"
912,"Легкоатлетический манеж МБУ "СК "Горняк"","Белгородская область","Спортивный проезд, 3, Губкин, Россия, 309188","25.12.2014"
913,"Спортивно-оздоровительная база "Чехов"","Московская область","Спортивная, 1, д.Кузьмино-Фильчаково, Россия, 119270","25.12.2014"
914,"Стрелковый комплкс НОУ ККССК РО ДОСААФ России КК","Краснодарский край","Береговая, 11, Краснодар, Россия, 350087","25.12.2014"
915,"Игровой зал СК МБОУ ДОД "ДЮСШ" им. Г.С. Хусаинова"","Республика Татарстан","Ленинградская, 1В, Нурлат, Россия, 423040","12.01.2015"
916,"Спортивный корпус МБОУ ДОД ДЮСШ "Старт"","Ненецкий автономный округ","Меньшикова, 17, Нарьян-Мар, Россия, 166002","25.12.2014"
917,"Спортивный зал МБУ ФКиС "ОСОК "Томусинец"","Кемеровская область","правый берег реки Уса в районе моста, Междуреченск, Россия, 652870","12.01.2015"
